STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"36","005","021700","36005021700","217",Census Tract 217,G5020,S,"161513","0","+40.8481818","-073.9133082"
"36","005","007600","36005007600","76",Census Tract 76,G5020,S,"217217","0","+40.8333750","-073.8676557"
"36","005","009000","36005009000","90",Census Tract 90,G5020,S,"1024677","1162033","+40.8089385","-073.8407005"
"36","005","021100","36005021100","211",Census Tract 211,G5020,S,"153028","0","+40.8404336","-073.9235034"
"36","005","022701","36005022701","227.01",Census Tract 227.01,G5020,S,"114009","0","+40.8468498","-073.9110148"
"36","005","006000","36005006000","60",Census Tract 60,G5020,S,"315748","0","+40.8377073","-073.8779705"
"36","005","004001","36005004001","40.01",Census Tract 40.01,G5020,S,"123145","0","+40.8282719","-073.8583355"
"36","005","015800","36005015800","158",Census Tract 158,G5020,S,"162176","0","+40.8248672","-073.8186182"
"36","005","022902","36005022902","229.02",Census Tract 229.02,G5020,S,"91601","0","+40.8437952","-073.9071529"
"36","005","021601","36005021601","216.01",Census Tract 216.01,G5020,S,"164035","0","+40.8375386","-073.8648221"
"36","005","022703","36005022703","227.03",Census Tract 227.03,G5020,S,"38660","0","+40.8440365","-073.9105204"
"36","005","022901","36005022901","229.01",Census Tract 229.01,G5020,S,"121893","0","+40.8460928","-073.9072191"
"36","005","015200","36005015200","152",Census Tract 152,G5020,S,"284310","0","+40.8263809","-073.8249096"
"36","005","020501","36005020501","205.01",Census Tract 205.01,G5020,S,"268164","0","+40.8474409","-073.9236597"
"36","005","039500","36005039500","395",Census Tract 395,G5020,S,"409402","0","+40.8481986","-073.8966814"
"36","005","009600","36005009600","96",Census Tract 96,G5020,S,"703455","15353","+40.8347812","-073.8437163"
"36","005","020900","36005020900","209",Census Tract 209,G5020,S,"132467","0","+40.8430704","-073.9150173"
"36","005","022200","36005022200","222",Census Tract 222,G5020,S,"221189","0","+40.8356878","-073.8552050"
"36","005","006400","36005006400","64",Census Tract 64,G5020,S,"168249","0","+40.8330289","-073.8722067"
"36","005","007000","36005007000","70",Census Tract 70,G5020,S,"204891","0","+40.8298152","-073.8656233"
"36","005","007800","36005007800","78",Census Tract 78,G5020,S,"311879","0","+40.8291304","-073.8526457"
"36","005","020100","36005020100","201",Census Tract 201,G5020,S,"282706","0","+40.8421663","-073.9269523"
"36","005","021302","36005021302","213.02",Census Tract 213.02,G5020,S,"165924","0","+40.8430165","-073.9203419"
"36","005","021200","36005021200","212",Census Tract 212,G5020,S,"101018","0","+40.8361273","-073.8589637"
"36","005","021301","36005021301","213.01",Census Tract 213.01,G5020,S,"65397","0","+40.8454981","-073.9199477"
"36","005","021800","36005021800","218",Census Tract 218,G5020,S,"320629","0","+40.8374070","-073.8697403"
"36","005","021502","36005021502","215.02",Census Tract 215.02,G5020,S,"155720","0","+40.8480444","-073.9167104"
"36","005","021602","36005021602","216.02",Census Tract 216.02,G5020,S,"165504","0","+40.8371927","-073.8622719"
"36","005","022702","36005022702","227.02",Census Tract 227.02,G5020,S,"50556","0","+40.8445224","-073.9132321"
"36","005","036901","36005036901","369.01",Census Tract 369.01,G5020,S,"98732","0","+40.8443568","-073.8918829"
"36","005","007200","36005007200","72",Census Tract 72,G5020,S,"213050","0","+40.8310478","-073.8606925"
"36","005","006200","36005006200","62",Census Tract 62,G5020,S,"192942","0","+40.8332756","-073.8755275"
"36","005","023100","36005023100","231",Census Tract 231,G5020,S,"117143","0","+40.8462192","-073.9024562"
"36","005","013000","36005013000","130",Census Tract 130,G5020,S,"116144","0","+40.8193055","-073.8147485"
"36","005","013200","36005013200","132",Census Tract 132,G5020,S,"604268","925089","+40.8092732","-073.8185512"
"36","005","013800","36005013800","138",Census Tract 138,G5020,S,"764724","3460640","+40.8217346","-073.7910026"
"36","005","014400","36005014400","144",Census Tract 144,G5020,S,"401253","0","+40.8212570","-073.8233396"
"36","005","016100","36005016100","161",Census Tract 161,G5020,S,"239125","0","+40.8368465","-073.8850152"
"36","005","016300","36005016300","163",Census Tract 163,G5020,S,"586016","0","+40.8385645","-073.8949709"
"36","005","016500","36005016500","165",Census Tract 165,G5020,S,"196842","0","+40.8431089","-073.9002773"
"36","005","009200","36005009200","92",Census Tract 92,G5020,S,"310475","0","+40.8323395","-073.8521545"
"36","005","009800","36005009800","98",Census Tract 98,G5020,S,"517450","0","+40.8254505","-073.8495052"
"36","005","011000","36005011000","110",Census Tract 110,G5020,S,"2069297","452399","+40.8134201","-073.8320557"
"36","005","016700","36005016700","167",Census Tract 167,G5020,S,"205837","0","+40.8404808","-073.9021708"
"36","005","016600","36005016600","166",Census Tract 166,G5020,S,"285611","0","+40.8295292","-073.8301840"
"36","005","019400","36005019400","194",Census Tract 194,G5020,S,"840070","393","+40.8330686","-073.8363043"
"36","005","011800","36005011800","118",Census Tract 118,G5020,S,"989676","2876319","+40.8097065","-073.8001663"
"36","005","035900","36005035900","359",Census Tract 359,G5020,S,"134331","0","+40.8402093","-073.8833847"
"36","005","036502","36005036502","365.02",Census Tract 365.02,G5020,S,"97659","0","+40.8423877","-073.8878255"
"36","005","036700","36005036700","367",Census Tract 367,G5020,S,"93063","0","+40.8407640","-073.8893107"
"36","005","036902","36005036902","369.02",Census Tract 369.02,G5020,S,"62406","0","+40.8425596","-073.8929199"
